ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 0,NaN
1,249_FED_20160519a_3T1_PL2017,E, 0,NaN
1,252_FED_20160907b_3T2_PL2017,H, 0,NaN
1,252_FED_20160907b_3T2_PL2017,E, 0,NaN
1,291_FED_20160803c_3T1_PL2017,H, 0,NaN
1,291_FED_20160803c_3T1_PL2017,E, 0,NaN
1,301_FED_20160908b_3T1_PL2017,H, 0,NaN
1,301_FED_20160908b_3T1_PL2017,E, 0,NaN
1,376_FED_20160519b_3T1_PL2017,H, 0,NaN
1,376_FED_20160519b_3T1_PL2017,E, 0,NaN
1,399_FED_20160519d_3T1_PL2017,H, 0,NaN
1,399_FED_20160519d_3T1_PL2017,E, 0,NaN
1,400_FED_20160520a_3T1_PL2017,H, 0,NaN
1,400_FED_20160520a_3T1_PL2017,E, 0,NaN
1,401_FED_20160520d_3T1_PL2017,H, 0,NaN
1,401_FED_20160520d_3T1_PL2017,E, 0,NaN
1,419_FED_20160805a_3T1_PL2017,H, 0,NaN
1,419_FED_20160805a_3T1_PL2017,E, 0,NaN
1,420_FED_20160805b_3T1_PL2017,H, 0,NaN
1,420_FED_20160805b_3T1_PL2017,E, 0,NaN
1,426_FED_20160908d_3T1_PL2017,H, 0,NaN
1,426_FED_20160908d_3T1_PL2017,E, 0,NaN
1,682_FED_20190426a_3T2_PL2017,H, 0,NaN
1,682_FED_20190426a_3T2_PL2017,E, 0,NaN
1,767_FED_20190418b_3T2_PL2017,H, 0,NaN
1,767_FED_20190418b_3T2_PL2017,E, 0,NaN
1,769_FED_20190522a_3T2_PL2017,H, 0,NaN
1,769_FED_20190522a_3T2_PL2017,E, 0,NaN
1,770_FED_20190523b_3T2_PL2017,H, 0,NaN
1,770_FED_20190523b_3T2_PL2017,E, 0,NaN
1,773_FED_20190605c_3T2_PL2017,H, 0,NaN
1,773_FED_20190605c_3T2_PL2017,E, 0,NaN
1,774_FED_20190605b_3T2_PL2017,H, 0,NaN
1,774_FED_20190605b_3T2_PL2017,E, 0,NaN
1,775_FED_20190611a_3T2_PL2017,H, 0,NaN
1,775_FED_20190611a_3T2_PL2017,E, 0,NaN
1,778_FED_20190614b_3T2_PL2017,H, 0,NaN
1,778_FED_20190614b_3T2_PL2017,E, 0,NaN
1,863_FED_20211124a_3T1_PL2017,H, 0,NaN
1,863_FED_20211124a_3T1_PL2017,E, 0,NaN
2,249_FED_20160519a_3T1_PL2017,H, 178,1.284985
2,249_FED_20160519a_3T1_PL2017,E, 178,1.100580
2,252_FED_20160907b_3T2_PL2017,H, 178,3.017415
2,252_FED_20160907b_3T2_PL2017,E, 178,1.351949
2,291_FED_20160803c_3T1_PL2017,H, 178,1.804486
2,291_FED_20160803c_3T1_PL2017,E, 178,1.396512
2,301_FED_20160908b_3T1_PL2017,H, 178,1.653511
2,301_FED_20160908b_3T1_PL2017,E, 178,0.780582
2,376_FED_20160519b_3T1_PL2017,H, 178,1.614722
2,376_FED_20160519b_3T1_PL2017,E, 178,0.744316
2,399_FED_20160519d_3T1_PL2017,H, 178,0.646831
2,399_FED_20160519d_3T1_PL2017,E, 178,-0.147638
2,400_FED_20160520a_3T1_PL2017,H, 178,0.301310
2,400_FED_20160520a_3T1_PL2017,E, 178,-0.053085
2,401_FED_20160520d_3T1_PL2017,H, 178,1.132952
2,401_FED_20160520d_3T1_PL2017,E, 178,1.117954
2,419_FED_20160805a_3T1_PL2017,H, 178,0.809597
2,419_FED_20160805a_3T1_PL2017,E, 178,0.821684
2,420_FED_20160805b_3T1_PL2017,H, 178,0.550811
2,420_FED_20160805b_3T1_PL2017,E, 178,0.457903
2,426_FED_20160908d_3T1_PL2017,H, 178,1.914072
2,426_FED_20160908d_3T1_PL2017,E, 178,0.848342
2,682_FED_20190426a_3T2_PL2017,H, 178,2.406232
2,682_FED_20190426a_3T2_PL2017,E, 178,1.744493
2,767_FED_20190418b_3T2_PL2017,H, 178,-0.342543
2,767_FED_20190418b_3T2_PL2017,E, 178,-0.703967
2,769_FED_20190522a_3T2_PL2017,H, 178,-0.456166
2,769_FED_20190522a_3T2_PL2017,E, 178,0.156833
2,770_FED_20190523b_3T2_PL2017,H, 178,2.437982
2,770_FED_20190523b_3T2_PL2017,E, 178,1.213661
2,773_FED_20190605c_3T2_PL2017,H, 178,2.329129
2,773_FED_20190605c_3T2_PL2017,E, 178,1.847115
2,774_FED_20190605b_3T2_PL2017,H, 178,1.918869
2,774_FED_20190605b_3T2_PL2017,E, 178,0.842462
2,775_FED_20190611a_3T2_PL2017,H, 178,4.577079
2,775_FED_20190611a_3T2_PL2017,E, 178,3.529908
2,778_FED_20190614b_3T2_PL2017,H, 178,0.142452
2,778_FED_20190614b_3T2_PL2017,E, 178,0.087622
2,863_FED_20211124a_3T1_PL2017,H, 178,2.068260
2,863_FED_20211124a_3T1_PL2017,E, 178,1.468774
3,249_FED_20160519a_3T1_PL2017,H, 0,NaN
3,249_FED_20160519a_3T1_PL2017,E, 0,NaN
3,252_FED_20160907b_3T2_PL2017,H, 0,NaN
3,252_FED_20160907b_3T2_PL2017,E, 0,NaN
3,291_FED_20160803c_3T1_PL2017,H, 0,NaN
3,291_FED_20160803c_3T1_PL2017,E, 0,NaN
3,301_FED_20160908b_3T1_PL2017,H, 0,NaN
3,301_FED_20160908b_3T1_PL2017,E, 0,NaN
3,376_FED_20160519b_3T1_PL2017,H, 0,NaN
3,376_FED_20160519b_3T1_PL2017,E, 0,NaN
3,399_FED_20160519d_3T1_PL2017,H, 0,NaN
3,399_FED_20160519d_3T1_PL2017,E, 0,NaN
3,400_FED_20160520a_3T1_PL2017,H, 0,NaN
3,400_FED_20160520a_3T1_PL2017,E, 0,NaN
3,401_FED_20160520d_3T1_PL2017,H, 0,NaN
3,401_FED_20160520d_3T1_PL2017,E, 0,NaN
3,419_FED_20160805a_3T1_PL2017,H, 0,NaN
3,419_FED_20160805a_3T1_PL2017,E, 0,NaN
3,420_FED_20160805b_3T1_PL2017,H, 0,NaN
3,420_FED_20160805b_3T1_PL2017,E, 0,NaN
3,426_FED_20160908d_3T1_PL2017,H, 0,NaN
3,426_FED_20160908d_3T1_PL2017,E, 0,NaN
