ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 0,NaN
1,249_FED_20160519a_3T1_PL2017,E, 0,NaN
1,252_FED_20160907b_3T2_PL2017,H, 0,NaN
1,252_FED_20160907b_3T2_PL2017,E, 0,NaN
1,291_FED_20160803c_3T1_PL2017,H, 0,NaN
1,291_FED_20160803c_3T1_PL2017,E, 0,NaN
1,301_FED_20160908b_3T1_PL2017,H, 0,NaN
1,301_FED_20160908b_3T1_PL2017,E, 0,NaN
1,376_FED_20160519b_3T1_PL2017,H, 0,NaN
1,376_FED_20160519b_3T1_PL2017,E, 0,NaN
1,399_FED_20160519d_3T1_PL2017,H, 0,NaN
1,399_FED_20160519d_3T1_PL2017,E, 0,NaN
1,400_FED_20160520a_3T1_PL2017,H, 0,NaN
1,400_FED_20160520a_3T1_PL2017,E, 0,NaN
1,401_FED_20160520d_3T1_PL2017,H, 0,NaN
1,401_FED_20160520d_3T1_PL2017,E, 0,NaN
1,419_FED_20160805a_3T1_PL2017,H, 0,NaN
1,419_FED_20160805a_3T1_PL2017,E, 0,NaN
1,420_FED_20160805b_3T1_PL2017,H, 0,NaN
1,420_FED_20160805b_3T1_PL2017,E, 0,NaN
1,426_FED_20160908d_3T1_PL2017,H, 0,NaN
1,426_FED_20160908d_3T1_PL2017,E, 0,NaN
1,682_FED_20190426a_3T2_PL2017,H, 0,NaN
1,682_FED_20190426a_3T2_PL2017,E, 0,NaN
1,767_FED_20190418b_3T2_PL2017,H, 0,NaN
1,767_FED_20190418b_3T2_PL2017,E, 0,NaN
1,769_FED_20190522a_3T2_PL2017,H, 0,NaN
1,769_FED_20190522a_3T2_PL2017,E, 0,NaN
1,770_FED_20190523b_3T2_PL2017,H, 0,NaN
1,770_FED_20190523b_3T2_PL2017,E, 0,NaN
1,773_FED_20190605c_3T2_PL2017,H, 0,NaN
1,773_FED_20190605c_3T2_PL2017,E, 0,NaN
1,774_FED_20190605b_3T2_PL2017,H, 0,NaN
1,774_FED_20190605b_3T2_PL2017,E, 0,NaN
1,775_FED_20190611a_3T2_PL2017,H, 0,NaN
1,775_FED_20190611a_3T2_PL2017,E, 0,NaN
1,778_FED_20190614b_3T2_PL2017,H, 0,NaN
1,778_FED_20190614b_3T2_PL2017,E, 0,NaN
1,863_FED_20211124a_3T1_PL2017,H, 0,NaN
1,863_FED_20211124a_3T1_PL2017,E, 0,NaN
2,249_FED_20160519a_3T1_PL2017,H, 178,1.040109
2,249_FED_20160519a_3T1_PL2017,E, 178,0.378671
2,252_FED_20160907b_3T2_PL2017,H, 178,2.320519
2,252_FED_20160907b_3T2_PL2017,E, 178,1.206959
2,291_FED_20160803c_3T1_PL2017,H, 178,-0.199259
2,291_FED_20160803c_3T1_PL2017,E, 178,-0.130241
2,301_FED_20160908b_3T1_PL2017,H, 178,1.724506
2,301_FED_20160908b_3T1_PL2017,E, 178,0.763278
2,376_FED_20160519b_3T1_PL2017,H, 178,0.492180
2,376_FED_20160519b_3T1_PL2017,E, 178,0.158668
2,399_FED_20160519d_3T1_PL2017,H, 178,-0.335211
2,399_FED_20160519d_3T1_PL2017,E, 178,-0.317120
2,400_FED_20160520a_3T1_PL2017,H, 178,1.350602
2,400_FED_20160520a_3T1_PL2017,E, 178,0.251300
2,401_FED_20160520d_3T1_PL2017,H, 178,2.017303
2,401_FED_20160520d_3T1_PL2017,E, 178,1.437686
2,419_FED_20160805a_3T1_PL2017,H, 178,0.621308
2,419_FED_20160805a_3T1_PL2017,E, 178,0.522895
2,420_FED_20160805b_3T1_PL2017,H, 178,1.070414
2,420_FED_20160805b_3T1_PL2017,E, 178,0.576763
2,426_FED_20160908d_3T1_PL2017,H, 178,-0.146581
2,426_FED_20160908d_3T1_PL2017,E, 178,-0.696569
2,682_FED_20190426a_3T2_PL2017,H, 178,0.383151
2,682_FED_20190426a_3T2_PL2017,E, 178,0.275330
2,767_FED_20190418b_3T2_PL2017,H, 178,0.454303
2,767_FED_20190418b_3T2_PL2017,E, 178,0.165687
2,769_FED_20190522a_3T2_PL2017,H, 178,1.201131
2,769_FED_20190522a_3T2_PL2017,E, 178,1.285876
2,770_FED_20190523b_3T2_PL2017,H, 178,0.490361
2,770_FED_20190523b_3T2_PL2017,E, 178,0.197338
2,773_FED_20190605c_3T2_PL2017,H, 178,-0.030033
2,773_FED_20190605c_3T2_PL2017,E, 178,0.078615
2,774_FED_20190605b_3T2_PL2017,H, 178,2.865696
2,774_FED_20190605b_3T2_PL2017,E, 178,1.640321
2,775_FED_20190611a_3T2_PL2017,H, 178,1.756563
2,775_FED_20190611a_3T2_PL2017,E, 178,1.323397
2,778_FED_20190614b_3T2_PL2017,H, 178,1.771398
2,778_FED_20190614b_3T2_PL2017,E, 178,1.243722
2,863_FED_20211124a_3T1_PL2017,H, 178,2.493909
2,863_FED_20211124a_3T1_PL2017,E, 178,1.769177
3,249_FED_20160519a_3T1_PL2017,H, 0,NaN
3,249_FED_20160519a_3T1_PL2017,E, 0,NaN
3,252_FED_20160907b_3T2_PL2017,H, 0,NaN
3,252_FED_20160907b_3T2_PL2017,E, 0,NaN
3,291_FED_20160803c_3T1_PL2017,H, 0,NaN
3,291_FED_20160803c_3T1_PL2017,E, 0,NaN
3,301_FED_20160908b_3T1_PL2017,H, 0,NaN
3,301_FED_20160908b_3T1_PL2017,E, 0,NaN
3,376_FED_20160519b_3T1_PL2017,H, 0,NaN
3,376_FED_20160519b_3T1_PL2017,E, 0,NaN
3,399_FED_20160519d_3T1_PL2017,H, 0,NaN
3,399_FED_20160519d_3T1_PL2017,E, 0,NaN
3,400_FED_20160520a_3T1_PL2017,H, 0,NaN
3,400_FED_20160520a_3T1_PL2017,E, 0,NaN
3,401_FED_20160520d_3T1_PL2017,H, 0,NaN
3,401_FED_20160520d_3T1_PL2017,E, 0,NaN
3,419_FED_20160805a_3T1_PL2017,H, 0,NaN
3,419_FED_20160805a_3T1_PL2017,E, 0,NaN
3,420_FED_20160805b_3T1_PL2017,H, 0,NaN
3,420_FED_20160805b_3T1_PL2017,E, 0,NaN
3,426_FED_20160908d_3T1_PL2017,H, 0,NaN
3,426_FED_20160908d_3T1_PL2017,E, 0,NaN
