ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,0.317443
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,0.431911
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,0.655644
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,0.165461
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,-0.117482
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,-0.168740
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,-0.423896
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,-0.087303
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.259219
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,0.708065
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,0.203897
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,-0.302259
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,1.138244
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,3.104062
2,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,1.947144
