ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,-0.355949
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,1.224696
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,0.724681
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,-0.008453
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,0.467968
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.850286
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,0.666574
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,0.426857
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.773547
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,0.793720
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,-0.825567
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,-0.488196
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,0.139475
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.940492
2,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,0.471827
