UID,EventsOrig_instrsep_2runs,events2move_instrsep,EventsRev_instrsep,SWNloc_IPS168_3runs,langlocSN,spatialFIN,Categorization,use4GSS
40,KAN_langevents_01,NA,NA,KAN_langevents_01,NA,NA,NA,EventsOrig_instrsep_2runs
57,KAN_langevents_02,NA,NA,KAN_langevents_02,NA,NA,NA,EventsOrig_instrsep_2runs
59,KAN_langevents_04,NA,NA,KAN_langevents_04,NA,NA,NA,EventsOrig_instrsep_2runs
56,KAN_langevents_05,NA,NA,KAN_langevents_05,NA,NA,NA,EventsOrig_instrsep_2runs
67,KAN_langevents_06,NA,NA,KAN_langevents_06,NA,NA,NA,EventsOrig_instrsep_2runs
68,KAN_langevents_07,NA,NA,KAN_langevents_07,NA,NA,NA,EventsOrig_instrsep_2runs
19,KAN_langevents_08,NA,NA,KAN_langevents_08,NA,NA,NA,EventsOrig_instrsep_2runs
70,KAN_langevents_11,NA,NA,KAN_langevents_11,NA,NA,NA,EventsOrig_instrsep_2runs
87,KAN_langevents_12,NA,NA,KAN_langevents_12,NA,NA,NA,EventsOrig_instrsep_2runs
78,KAN_langevents_13,NA,NA,KAN_langevents_13,NA,NA,NA,EventsOrig_instrsep_2runs
89,KAN_langevents_15,NA,NA,KAN_langevents_15,NA,NA,NA,no
76,KAN_langevents_16,NA,NA,KAN_langevents_16,NA,NA,NA,no
199,NA,FED_20160711c_3T1,NA,NA,KAN_parametric_20,KAN_parametric_20,NA,events2move_instrsep
261,NA,FED_20160523c_3T2,NA,NA,FED_20160523c_3T2,FED_20160523c_3T3,NA,events2move_instrsep
407,NA,FED_20160804a_3T1,NA,NA,FED_20160804a_3T1,FED_20160804a_3T2,NA,events2move_instrsep
408,NA,FED_20160711a2_3T1,NA,NA,FED_20160711a2_3T1,FED_20160711a2_3T2,FED_20160617a_3T2,events2move_instrsep
409,NA,FED_20160622a_3T1,NA,NA,FED_20160622a_3T1,FED_20160622a_3T2,FED_20160622a_3T1,events2move_instrsep
410,NA,FED_20160623b_3T2,NA,NA,FED_20160623b_3T2,FED_20160623b_3T3,FED_20160623b_3T2,events2move_instrsep
414,NA,FED_20160711b_3T1,NA,NA,FED_20160711b_3T1,FED_20160711b_3T2,NA,no
421,NA,FED_20160804b_3T1,NA,NA,FED_20160804b_3T1,FED_20160804b_3T2,NA,no
730,NA,FED_20190306a_3T2,NA,NA,FED_20190306a_3T2,FED_20190306a_3T3,NA,events2move_instrsep
776,NA,FED_20190611b_3T2,NA,NA,FED_20190611b_3T2,FED_20190611b_3T3,NA,events2move_instrsep
249,NA,NA,FED_20160519a_3T1,NA,FED_20160519a_3T1,FED_20160519a_3T2,KAN_EvDB_20150130,EventsRev_instrsep
252,NA,NA,FED_20160907b_3T2,NA,FED_20160907b_3T2,FED_20160907b_3T3,KAN_evDB_20150206,EventsRev_instrsep
291,NA,FED_20160803c_3T1,FED_20160803c_3T1,NA,FED_20160803c_3T1,FED_20160803c_3T2,NA,no
301,NA,NA,FED_20160908b_3T1,NA,FED_20160908b_3T1,FED_20160908b_3T2,NA,EventsRev_instrsep
376,NA,NA,FED_20160519b_3T1,NA,FED_20160519b_3T1,FED_20160519b_3T2,FED_20160401b_3T2,EventsRev_instrsep
399,NA,NA,FED_20160519d_3T1,NA,FED_20160519d_3T1,FED_20160519d_3T2,FED_20160519d_3T1,EventsRev_instrsep
400,NA,FED_20160520a_3T1,FED_20160520a_3T1,NA,FED_20160520a_3T1,FED_20160520a_3T2,FED_20160520a_3T1,events2move_instrsep
401,NA,NA,FED_20160520d_3T1,NA,FED_20160520d_3T1,FED_20160520d_3T2,FED_20160520d_3T1,EventsRev_instrsep
419,NA,FED_20160805a_3T1,FED_20160805a_3T1,NA,FED_20160805a_3T1,FED_20160805a_3T2,NA,events2move_instrsep
420,NA,NA,FED_20160805b_3T1,NA,FED_20160805b_3T1,FED_20160805b_3T2,NA,EventsRev_instrsep
426,NA,NA,FED_20160908d_3T1,NA,FED_20160908d_3T1,FED_20160908d_3T2,NA,EventsRev_instrsep
682,NA,NA,FED_20190426a_3T2,NA,FED_20190426a_3T2,FED_20190426a_3T3,NA,no
767,NA,NA,FED_20190418b_3T2,NA,FED_20190418b_3T2,FED_20190418b_3T3,NA,EventsRev_instrsep
768,NA,NA,FED_20190517a_3T2,NA,FED_20190517a_3T2,NA,NA,EventsRev_instrsep
769,NA,NA,FED_20190522a_3T2,NA,FED_20190522a_3T2,FED_20190522a_3T3,NA,no
770,NA,NA,FED_20190523b_3T2,NA,FED_20190523b_3T2,FED_20190523b_3T3,NA,no
773,NA,FED_20190605c_3T2,FED_20190605c_3T2,NA,FED_20190605c_3T2,FED_20190605c_3T3,NA,no
774,NA,FED_20190605b_3T2,FED_20190605b_3T2,NA,FED_20190605b_3T2,FED_20190605b_3T3,NA,no
775,NA,FED_20190611a_3T2,FED_20190611a_3T2,NA,FED_20190611a_3T2,FED_20190611a_3T3,NA,no
778,NA,FED_20190614b_3T2,FED_20190614b_3T2,NA,FED_20190614b_3T2,FED_20190614b_3T3,NA,no
863,NA,NA,FED_20211124a_3T1,NA,FED_20211124a_3T1,FED_20211124a_3T1,NA,no
